id;name;surename;patronymic;phone_number
1;Buckinghamshire payment Фантастический;even-keeled;ИИ;Verde шифрование музыка
2;Свободный;Региональный;Носки networks;импортировать обойти
3;Хлопковый withdrawal Seamless;Sharable;SMTP SMTP 6th;Румыния
4;Молдова;Кожанный обход специалист;Borders планировщик;e-services
5;навигировать Лоснящийся;embrace Triple-buffered SMS;Ведущий enable;инженер
6;переопределить deposit;whiteboard шифрование Хлопковый;копирование Практичный ROI;цифровой
7;переопределить область;Secured payment Гренадины;Credit;world-class основной Республика
8;Маленький e-tailers инженер;разбор дизайнер;Ангилья Деревянный;Fundamental детское invoice
9;seamless навигация;специалист brand USB;cutting-edge seize;B2B
10;Центральный Money;Майка страховой передача;ОС Ouguiya;stable администратор Деревянный
